ID,lsat,grad,zgpa,fulltime,fam_inc,male,Dropout,white,other,asian,black,hisp,pass_bar,tier,indxgrp,gpa
2,44.0,1,1.88,1.0,5.0,0.0,1,1.0,0,0,0,0,1,4.0,7,3.5
3,29.0,1,-0.57,1.0,4.0,0.0,1,1.0,0,0,0,0,1,2.0,6,3.5
36,36.0,1,-1.12,1.0,1.0,1.0,1,1.0,0,0,0,0,1,3.0,7,3.5
52,39.0,1,-0.49,1.0,4.0,1.0,1,1.0,0,0,0,0,1,3.0,7,3.5
55,48.0,1,0.76,1.0,4.0,1.0,1,1.0,0,0,0,0,1,5.0,7,3.5
72,40.0,1,-0.12,1.0,4.0,0.0,1,1.0,0,0,0,0,1,3.0,7,3.5
74,34.0,1,0.45,1.0,3.0,0.0,1,1.0,0,0,0,0,1,3.0,7,3.5
89,40.0,1,1.41,2.0,2.0,1.0,1,1.0,0,0,0,0,1,3.0,7,3.5
109,40.0,1,-1.01,1.0,4.0,1.0,1,1.0,0,0,0,0,1,5.0,7,3.5
143,28.0,1,-0.04,1.0,2.0,0.0,1,0.0,0,0,0,0,0,1.0,5,3.5
144,33.0,1,-1.19,1.0,4.0,0.0,1,1.0,0,0,0,0,0,2.0,7,3.5
146,36.0,1,-0.01,1.0,3.0,0.0,1,1.0,0,0,0,0,1,4.0,7,3.5
158,34.0,1,-0.38,1.0,3.0,1.0,1,1.0,0,0,0,0,1,3.0,7,3.5
160,31.0,1,0.34,1.0,2.0,0.0,1,1.0,0,0,0,0,1,3.0,6,3.5
174,42.0,1,0.08,1.0,3.0,1.0,1,1.0,0,0,0,0,1,4.0,7,3.5
202,34.0,1,-0.57,1.0,4.0,0.0,1,1.0,0,0,0,0,1,3.0,7,3.5
208,39.0,1,0.11,1.0,4.0,1.0,1,0.0,0,1,0,0,1,5.0,7,3.5
213,33.0,1,-0.6,1.0,4.0,0.0,1,1.0,0,0,0,0,1,5.0,7,3.5
231,44.0,1,-0.03,1.0,3.0,0.0,1,1.0,0,0,0,0,1,4.0,7,3.5
268,39.0,1,0.7,1.0,3.0,0.0,1,1.0,0,0,0,0,1,3.0,7,3.5
269,32.0,1,-0.01,1.0,3.0,0.0,1,1.0,0,0,0,0,1,3.0,6,3.5
319,30.0,1,-1.51,1.0,3.0,0.0,1,1.0,0,0,0,0,1,3.0,6,3.5
326,36.0,1,-0.06,1.0,3.0,0.0,1,1.0,0,0,0,0,1,4.0,7,3.5
328,38.0,1,0.46,1.0,3.0,0.0,1,1.0,0,0,0,0,1,3.0,7,3.5
337,35.0,1,0.98,1.0,4.0,1.0,1,1.0,0,0,0,0,1,3.0,7,3.5
350,31.0,1,0.7,1.0,3.0,0.0,1,1.0,0,0,0,0,1,2.0,6,3.5
377,47.0,1,-0.37,1.0,4.0,1.0,1,1.0,0,0,0,0,1,6.0,7,3.5
381,40.0,1,-0.11,1.0,4.0,0.0,1,1.0,0,0,0,0,1,3.0,7,3.5
388,30.0,1,0.23,1.0,3.0,0.0,1,1.0,0,0,0,0,1,2.0,6,3.5
389,34.0,1,3.15,1.0,3.0,1.0,1,1.0,0,0,0,0,1,3.0,7,3.5
392,39.0,1,-0.07,1.0,3.0,1.0,1,1.0,0,0,0,0,1,4.0,7,3.5
393,48.0,1,0.37,1.0,3.0,1.0,1,1.0,0,0,0,0,1,6.0,7,3.5
401,37.0,1,-0.53,1.0,1.0,1.0,1,1.0,0,0,0,0,1,4.0,7,3.5
410,39.0,1,0.45,1.0,2.0,0.0,1,1.0,0,0,0,0,1,4.0,7,3.5
445,33.0,1,-0.76,1.0,3.0,0.0,1,1.0,0,0,0,0,1,3.0,7,3.5
462,45.0,1,0.62,1.0,4.0,1.0,1,1.0,0,0,0,0,1,4.0,7,3.5
478,36.0,1,1.22,1.0,4.0,0.0,1,1.0,0,0,0,0,1,3.0,7,3.5
482,44.0,1,1.73,1.0,4.0,1.0,1,1.0,0,0,0,0,1,5.0,7,3.5
485,30.5,1,-2.17,1.0,4.0,1.0,1,1.0,0,0,0,0,1,3.0,6,3.5
491,40.0,1,2.27,1.0,3.0,1.0,1,1.0,0,0,0,0,1,4.0,7,3.5
493,48.0,1,0.87,1.0,4.0,0.0,1,1.0,0,0,0,0,1,5.0,7,3.5
536,39.0,1,-0.06,1.0,3.0,0.0,1,1.0,0,0,0,0,1,5.0,7,3.5
580,31.0,1,1.49,2.0,3.0,0.0,1,1.0,0,0,0,0,1,3.0,6,3.5
586,33.5,1,0.63,1.0,4.0,1.0,1,1.0,0,0,0,0,1,5.0,7,3.5
599,31.0,1,1.6,1.0,3.0,0.0,1,1.0,0,0,0,0,1,3.0,6,3.5
602,32.0,1,-0.65,1.0,4.0,1.0,1,1.0,0,0,0,0,1,3.0,6,3.5
610,38.0,1,-0.83,1.0,3.0,1.0,1,1.0,0,0,0,0,1,5.0,7,3.5
626,30.0,1,1.83,1.0,4.0,0.0,1,1.0,0,0,0,0,1,3.0,6,3.5
634,37.0,1,1.09,1.0,4.0,1.0,1,1.0,0,0,0,0,1,3.0,7,3.5
642,32.0,1,-0.31,1.0,4.0,0.0,1,1.0,0,0,0,0,1,5.0,6,3.5
647,34.0,1,0.7,1.0,3.0,0.0,1,1.0,0,0,0,0,1,5.0,7,3.5
657,35.0,1,0.26,1.0,4.0,1.0,1,1.0,0,0,0,0,1,4.0,7,3.5
692,44.0,1,1.34,1.0,4.0,0.0,1,1.0,0,0,0,0,1,3.0,7,3.5
694,30.5,1,0.64,1.0,3.0,1.0,1,1.0,0,0,0,0,1,5.0,6,3.5
726,32.0,1,-0.93,1.0,3.0,0.0,1,1.0,0,0,0,0,1,4.0,6,3.5
727,37.0,1,1.68,1.0,4.0,0.0,1,1.0,0,0,0,0,1,4.0,7,3.5
735,28.0,1,-0.87,1.0,4.0,0.0,1,1.0,0,0,0,0,1,3.0,5,3.5
744,39.0,1,1.89,1.0,3.0,1.0,1,1.0,0,0,0,0,1,4.0,7,3.5
793,35.0,1,1.33,1.0,4.0,1.0,1,1.0,0,0,0,0,1,2.0,7,3.5
795,37.0,1,-1.76,1.0,4.0,0.0,1,0.0,0,0,1,0,1,5.0,7,3.5
807,46.0,1,-0.7,1.0,4.0,1.0,1,1.0,0,0,0,0,1,6.0,7,3.5
812,39.0,1,-0.73,1.0,4.0,1.0,1,1.0,0,0,0,0,1,5.0,7,3.5
823,33.0,1,0.7,1.0,3.0,1.0,1,1.0,0,0,0,0,0,2.0,7,3.5
842,43.0,1,0.3,1.0,3.0,0.0,1,1.0,0,0,0,0,1,4.0,7,3.5
847,34.0,1,0.68,1.0,4.0,0.0,1,1.0,0,0,0,0,1,3.0,7,3.5
862,33.0,1,0.15,1.0,3.0,0.0,1,1.0,0,0,0,0,1,3.0,7,3.5
879,43.0,1,1.97,1.0,4.0,0.0,1,1.0,0,0,0,0,1,3.0,7,3.5
888,41.0,1,0.25,1.0,3.0,0.0,1,1.0,0,0,0,0,1,6.0,7,3.5
894,40.0,1,0.7,1.0,3.0,0.0,1,1.0,0,0,0,0,1,3.0,7,3.5
918,33.0,1,0.05,1.0,2.0,0.0,1,1.0,0,0,0,0,1,3.0,7,3.5
920,35.0,1,0.06,1.0,3.0,1.0,1,1.0,0,0,0,0,1,2.0,7,3.5
967,42.0,1,-0.1,1.0,1.0,0.0,1,1.0,0,0,0,0,1,4.0,7,3.5
1006,36.0,1,0.52,1.0,2.0,1.0,1,0.0,0,1,0,0,1,4.0,7,3.5
1018,46.0,1,-0.51,1.0,4.0,0.0,1,1.0,0,0,0,0,1,5.0,7,3.5
1054,38.0,1,1.68,1.0,3.0,0.0,1,1.0,0,0,0,0,1,3.0,7,3.5
1081,36.0,1,0.7,1.0,4.0,0.0,1,1.0,0,0,0,0,1,3.0,7,3.5
1091,35.0,1,-0.46,1.0,3.0,1.0,1,1.0,0,0,0,0,1,2.0,7,3.5
1143,37.0,1,-0.33,1.0,3.0,1.0,1,1.0,0,0,0,0,1,3.0,7,3.5
1145,37.7,1,0.51,1.0,3.0,0.0,1,1.0,0,0,0,0,1,4.0,7,3.5
1147,43.0,1,-0.44,1.0,4.0,1.0,1,1.0,0,0,0,0,1,5.0,7,3.5
1161,31.0,1,0.18,1.0,3.0,1.0,1,0.0,0,0,0,0,1,5.0,6,3.5
1178,42.0,1,0.14,1.0,2.0,0.0,1,1.0,0,0,0,0,1,4.0,7,3.5
1189,35.0,1,0.41,2.0,3.0,1.0,1,1.0,0,0,0,0,1,3.0,7,3.5
1191,43.5,1,1.31,1.0,5.0,1.0,1,1.0,0,0,0,0,1,5.0,7,3.5
1194,29.0,1,0.39,1.0,4.0,1.0,1,1.0,0,0,0,0,1,2.0,6,3.5
1200,38.0,1,-0.35,1.0,3.0,0.0,1,1.0,0,0,0,0,1,4.0,7,3.5
1211,37.0,1,0.52,1.0,4.0,1.0,1,1.0,0,0,0,0,1,3.0,7,3.5
1253,40.0,1,0.08,1.0,3.0,1.0,1,1.0,0,0,0,0,1,3.0,7,3.5
1280,44.0,1,-0.39,1.0,3.0,1.0,1,1.0,0,0,0,0,1,6.0,7,3.5
1300,43.0,1,-1.49,1.0,3.0,1.0,1,1.0,0,0,0,0,1,4.0,7,3.5
1343,37.0,1,-1.47,1.0,3.0,1.0,1,0.0,0,0,1,0,1,5.0,7,3.5
1348,38.0,1,0.98,1.0,3.0,1.0,1,1.0,0,0,0,0,1,3.0,7,3.5
1390,41.0,1,0.03,1.0,5.0,0.0,1,1.0,0,0,0,0,1,4.0,7,3.5
1397,45.0,1,0.95,1.0,2.0,1.0,1,1.0,0,0,0,0,0,3.0,7,3.5
1399,32.5,1,-0.2,1.0,4.0,1.0,1,1.0,0,0,0,0,1,3.0,7,3.5
1409,35.0,1,-0.12,1.0,5.0,1.0,1,1.0,0,0,0,0,1,4.0,7,3.5
1427,29.0,1,0.7,1.0,4.0,0.0,1,1.0,0,0,0,0,0,1.0,6,3.5
1460,32.0,1,-0.07,1.0,4.0,0.0,1,1.0,0,0,0,0,1,4.0,6,3.5
1462,39.0,1,-0.1,1.0,4.0,0.0,1,1.0,0,0,0,0,1,3.0,7,3.5
1466,40.0,1,-0.79,1.0,4.0,1.0,1,1.0,0,0,0,0,1,5.0,7,3.5
1525,45.0,1,-1.89,1.0,4.0,1.0,1,1.0,0,0,0,0,1,6.0,7,3.5
1527,35.0,1,1.03,1.0,2.0,0.0,1,1.0,0,0,0,0,1,4.0,7,3.5
1562,29.0,1,-0.42,1.0,3.0,1.0,1,1.0,0,0,0,0,1,3.0,6,3.5
1566,46.0,1,-0.37,1.0,5.0,1.0,1,1.0,0,0,0,0,1,5.0,7,3.5
1581,44.0,1,-0.34,1.0,3.0,0.0,1,1.0,0,0,0,0,1,4.0,7,3.5
1583,40.0,1,0.13,1.0,3.0,0.0,1,1.0,0,0,0,0,1,4.0,7,3.5
1593,42.0,1,1.29,1.0,4.0,0.0,1,1.0,0,0,0,0,1,3.0,7,3.5
1596,32.0,1,1.06,1.0,4.0,0.0,1,1.0,0,0,0,0,1,4.0,6,3.5
1621,43.0,1,-0.79,1.0,4.0,0.0,1,1.0,0,0,0,0,1,5.0,7,3.5
1625,30.5,1,-0.93,1.0,3.0,0.0,1,1.0,0,0,0,0,1,3.0,6,3.5
1634,35.0,1,1.53,1.0,1.0,0.0,1,1.0,0,0,0,0,1,3.0,7,3.5
1636,34.0,1,-0.65,1.0,3.0,1.0,1,1.0,0,0,0,0,1,3.0,7,3.5
1678,38.0,1,-0.09,1.0,3.0,0.0,1,1.0,0,0,0,0,1,4.0,7,3.5
1698,33.0,1,0.17,1.0,3.0,0.0,1,1.0,0,0,0,0,1,5.0,7,3.5
1729,36.0,1,0.16,1.0,3.0,1.0,1,1.0,0,0,0,0,1,5.0,7,3.5
1738,41.0,1,1.09,1.0,4.0,1.0,1,1.0,0,0,0,0,1,5.0,7,3.5
1743,43.0,1,0.91,1.0,3.0,1.0,1,1.0,0,0,0,0,1,4.0,7,3.5
1746,40.0,1,1.47,1.0,4.0,0.0,1,1.0,0,0,0,0,1,3.0,7,3.5
1792,23.3,1,0.5,1.0,2.0,1.0,1,0.0,0,0,1,0,1,1.0,4,3.5
1812,42.0,1,0.03,1.0,4.0,0.0,1,1.0,0,0,0,0,1,5.0,7,3.5
1825,47.0,1,1.68,2.0,3.0,1.0,1,1.0,0,0,0,0,1,5.0,7,3.5
1873,43.0,1,0.07,1.0,5.0,1.0,1,1.0,0,0,0,0,1,4.0,7,3.5
1874,34.0,1,0.7,1.0,3.0,0.0,1,1.0,0,0,0,0,1,4.0,7,3.5
1876,30.0,1,-0.84,1.0,4.0,1.0,1,1.0,0,0,0,0,1,3.0,6,3.5
1888,38.0,1,1.05,1.0,4.0,0.0,1,1.0,0,0,0,0,1,3.0,7,3.5
1894,44.0,1,-0.78,1.0,3.0,1.0,1,1.0,0,0,0,0,1,6.0,7,3.5
1897,43.0,1,-0.57,1.0,4.0,1.0,1,1.0,0,0,0,0,1,6.0,7,3.5
1901,45.0,1,-0.35,1.0,4.0,1.0,1,1.0,0,0,0,0,1,3.0,7,3.5
1915,33.0,1,0.7,1.0,3.0,1.0,1,1.0,0,0,0,0,1,6.0,7,3.5
1955,38.0,1,-0.62,1.0,3.0,1.0,1,1.0,0,0,0,0,1,3.0,7,3.5
1964,41.0,1,0.45,1.0,4.0,0.0,1,1.0,0,0,0,0,1,3.0,7,3.5
1995,37.0,1,-0.52,1.0,3.0,1.0,1,1.0,0,0,0,0,1,4.0,7,3.5
