ID,lsat,grad,zgpa,fulltime,fam_inc,Dropout,tier,indxgrp,gpa
18061,40.0,1,0.6,1.0,4.0,1,5.0,7,3.6
22361,41.0,1,-0.62,1.0,3.0,1,4.0,7,2.9
17892,35.0,1,0.36,1.0,4.0,1,3.0,7,3.1
12956,48.0,1,-0.26,1.0,4.0,1,4.0,7,2.7
21203,34.0,1,1.8,1.0,4.0,1,3.0,6,3.2
23460,23.0,1,-1.84,1.0,3.0,1,2.0,2,2.1
18345,32.0,1,-1.14,1.0,3.0,1,3.0,6,3.4
19480,29.0,1,-0.67,1.0,3.0,1,2.0,5,3.2
13326,34.0,1,0.83,2.0,3.0,1,3.0,6,3.1
10286,41.0,1,0.92,1.0,5.0,1,3.0,7,3.0
5619,36.0,1,-0.44,1.0,3.0,1,3.0,7,3.7
20967,32.0,1,-0.74,1.0,4.0,1,3.0,6,3.3
23895,34.0,1,-0.69,1.0,3.0,1,3.0,5,2.6
13106,41.0,1,-0.18,1.0,5.0,1,5.0,7,3.3
8743,37.0,1,-1.03,1.0,4.0,1,3.0,6,2.7
16083,35.5,1,-1.68,1.0,4.0,1,6.0,7,3.2
14520,40.0,1,-0.38,2.0,4.0,1,4.0,7,2.7
3873,32.5,1,-0.9,1.0,3.0,1,4.0,6,3.3
20352,34.0,1,-1.05,1.0,4.0,1,4.0,7,3.7
8142,42.0,1,-0.63,1.0,2.0,1,5.0,7,3.7
12020,37.0,1,0.94,1.0,4.0,1,5.0,7,3.5
25639,36.0,1,0.82,1.0,4.0,1,5.0,7,3.8
22312,42.0,1,0.75,1.0,3.0,1,4.0,7,3.4
19068,26.0,1,-1.16,1.0,1.0,1,5.0,4,2.9
10826,31.0,1,-1.1,1.0,4.0,1,3.0,6,3.6
9788,36.0,1,-0.57,1.0,4.0,1,3.0,7,3.1
9944,40.0,1,0.99,1.0,3.0,1,4.0,7,3.2
13367,35.0,1,0.07,1.0,4.0,1,4.0,7,3.1
19564,42.0,1,0.12,1.0,4.0,1,3.0,7,3.3
2148,35.0,0,-0.29,2.0,3.0,1,4.0,7,3.1
11392,45.0,1,-0.11,1.0,5.0,1,4.0,7,2.5
27440,37.0,1,0.6,1.0,3.0,1,4.0,7,3.0
11977,40.0,1,0.18,1.0,4.0,1,5.0,7,3.7
17977,42.0,1,0.09,1.0,5.0,1,6.0,7,3.8
19878,32.0,1,-0.11,1.0,3.0,1,3.0,6,3.2
15090,37.0,1,0.47,1.0,3.0,1,5.0,7,3.6
24520,44.0,1,-0.66,1.0,3.0,1,6.0,7,3.0
1207,39.0,1,0.09,1.0,4.0,1,3.0,7,2.7
11364,45.0,1,1.08,1.0,4.0,1,4.0,7,2.8
27038,44.0,1,0.72,1.0,4.0,1,5.0,7,3.7
292,23.0,1,-0.77,1.0,5.0,1,3.0,3,3.1
3748,25.5,1,1.32,1.0,3.0,1,3.0,5,3.7
3102,39.0,1,-0.07,1.0,4.0,1,3.0,7,3.2
7386,38.0,1,0.23,1.0,3.0,1,4.0,7,3.3
2217,34.0,1,0.0,2.0,2.0,1,3.0,6,3.0
4142,35.0,1,-0.88,1.0,3.0,1,3.0,7,3.1
19225,31.5,1,1.59,2.0,5.0,1,5.0,5,3.0
21559,31.0,1,-0.15,1.0,3.0,1,5.0,5,3.0
26459,39.0,1,0.74,1.0,5.0,1,4.0,7,3.0
17927,38.5,1,-0.52,1.0,4.0,1,4.0,7,2.9
4662,39.0,1,-1.44,2.0,2.0,1,4.0,7,3.1
17380,37.0,1,1.29,1.0,3.0,1,2.0,7,3.4
27218,39.0,1,0.74,1.0,5.0,1,4.0,7,3.6
9628,39.0,1,0.46,1.0,3.0,1,4.0,7,3.4
8587,41.0,1,0.51,1.0,4.0,1,3.0,7,2.9
7022,45.0,1,0.36,1.0,4.0,1,4.0,7,3.4
2915,42.0,1,1.05,1.0,3.0,1,5.0,7,3.9
16686,30.0,1,-2.19,1.0,2.0,1,3.0,5,2.7
20882,38.5,1,-0.99,1.0,5.0,1,4.0,7,3.0
15283,37.0,1,1.02,1.0,4.0,1,5.0,7,3.4
3452,39.0,1,-2.89,1.0,4.0,1,3.0,7,3.4
13324,38.0,1,0.02,1.0,4.0,1,3.0,7,3.0
19401,31.0,1,1.57,1.0,4.0,1,1.0,5,2.6
18806,42.0,1,1.87,1.0,2.0,1,3.0,7,3.1
10696,43.5,1,1.22,1.0,3.0,1,5.0,7,3.0
1307,29.0,1,-1.5,1.0,3.0,1,3.0,6,3.8
8829,37.5,1,1.3,1.0,4.0,1,3.0,7,2.9
16212,36.0,1,1.37,1.0,2.0,1,3.0,7,3.1
3374,43.0,1,0.39,1.0,3.0,1,5.0,7,3.7
15285,40.0,1,0.14,1.0,4.0,1,5.0,7,3.3
1130,42.0,1,-0.66,1.0,4.0,1,3.0,7,2.6
24946,28.0,1,-1.46,1.0,2.0,1,3.0,4,2.8
3296,37.0,1,0.49,1.0,3.0,1,3.0,7,3.2
10424,45.0,1,-1.34,1.0,3.0,1,5.0,7,3.8
1717,48.0,1,0.84,1.0,4.0,1,6.0,7,3.6
9836,45.0,1,0.0,1.0,3.0,1,6.0,7,3.8
26242,38.0,1,-1.81,1.0,4.0,1,3.0,7,2.7
27053,40.0,1,0.46,1.0,5.0,1,5.0,7,3.4
3657,35.0,1,-0.45,1.0,4.0,1,3.0,7,3.6
24284,38.0,1,-0.8,1.0,4.0,1,3.0,7,3.3
26534,35.5,1,-0.92,2.0,3.0,1,3.0,7,3.1
16154,25.0,1,-2.17,1.0,4.0,1,4.0,3,2.8
24646,38.0,0,-0.04,1.0,4.0,1,4.0,7,3.2
12152,42.0,1,0.03,1.0,3.0,1,4.0,7,3.5
19820,46.0,1,0.0,1.0,3.0,1,6.0,7,3.1
25248,22.0,1,-0.89,1.0,3.0,1,2.0,2,2.6
815,19.0,1,-0.45,1.0,3.0,1,3.0,3,3.2
10080,42.0,1,1.97,1.0,5.0,1,4.0,7,2.7
10762,39.0,1,-1.28,1.0,2.0,1,6.0,7,3.1
22507,47.0,1,0.19,1.0,4.0,1,5.0,7,3.9
13283,32.0,1,0.26,1.0,3.0,1,4.0,7,3.7
25393,48.0,1,1.96,1.0,4.0,1,6.0,7,3.8
10597,41.0,1,0.82,1.0,4.0,1,3.0,7,2.8
27048,41.0,1,0.47,2.0,3.0,1,4.0,7,3.6
25439,42.0,1,1.08,1.0,4.0,1,4.0,7,3.9
20260,42.0,1,1.23,1.0,4.0,1,5.0,7,3.0
22866,36.0,1,-0.86,1.0,5.0,1,5.0,7,3.5
14135,38.0,1,-0.62,1.0,3.0,1,4.0,7,2.8
24969,39.0,1,-0.41,1.0,3.0,1,3.0,7,2.9
21965,37.0,1,-0.58,1.0,4.0,1,4.0,7,3.5
21648,44.0,1,0.56,1.0,3.0,1,6.0,7,3.6
24625,33.5,1,-1.38,1.0,4.0,1,3.0,5,2.6
11191,37.0,1,-2.3,1.0,4.0,1,5.0,7,3.3
1792,23.3,1,0.5,1.0,2.0,1,1.0,4,3.5
16995,34.0,1,-1.58,1.0,2.0,1,3.0,5,2.5
19166,32.5,1,0.47,1.0,4.0,1,4.0,5,2.7
8781,45.0,1,0.26,1.0,4.0,1,6.0,7,3.4
3433,40.0,1,-0.02,1.0,4.0,1,4.0,7,3.4
20126,37.0,1,0.04,1.0,5.0,1,4.0,7,3.4
100,32.0,1,-1.33,1.0,3.0,1,4.0,6,3.0
11490,45.0,1,-0.22,1.0,2.0,1,6.0,7,2.9
23898,29.0,1,-1.86,1.0,3.0,1,4.0,4,2.7
3188,38.0,1,0.82,1.0,2.0,1,2.0,7,2.7
16942,40.0,1,0.97,1.0,3.0,1,3.0,7,3.0
19438,39.0,1,0.98,1.0,3.0,1,6.0,7,3.4
9539,38.0,1,0.68,1.0,3.0,1,4.0,7,3.1
27126,24.0,1,-0.5,1.0,3.0,1,3.0,4,3.2
11755,33.0,1,-0.12,1.0,4.0,1,3.0,7,3.6
19137,37.0,1,1.2,1.0,4.0,1,3.0,7,2.8
11948,40.0,1,1.45,1.0,2.0,1,4.0,7,3.8
5193,39.0,1,0.0,1.0,3.0,1,4.0,7,3.1
16529,40.0,1,1.24,1.0,3.0,1,1.0,7,3.6
19571,41.0,1,1.47,1.0,5.0,1,4.0,7,3.4
6762,40.0,1,-1.43,1.0,4.0,1,2.0,7,2.9
9559,39.0,1,0.55,1.0,3.0,1,3.0,7,3.1
11387,41.0,1,-0.6,1.0,4.0,1,5.0,7,3.8
22325,36.0,1,0.79,2.0,4.0,1,5.0,7,2.9
8473,47.0,1,0.76,1.0,4.0,1,3.0,7,3.6
25843,37.0,1,1.8,1.0,3.0,1,3.0,7,3.6
9099,45.0,1,1.63,1.0,5.0,1,4.0,7,3.5
20527,39.0,1,-0.25,1.0,4.0,1,4.0,7,3.4
10928,41.0,1,0.66,1.0,3.0,1,4.0,7,2.7
22403,34.0,1,-0.92,1.0,3.0,1,3.0,6,3.1
16349,45.0,1,0.81,1.0,2.0,1,6.0,7,3.6
26746,43.0,1,0.21,1.0,2.0,1,3.0,7,3.3
181,41.0,1,0.35,1.0,4.0,1,3.0,7,3.0
20446,37.0,1,-0.11,1.0,4.0,1,4.0,7,3.8
12002,45.0,1,0.5,1.0,3.0,1,4.0,7,3.1
22723,40.0,1,-0.46,1.0,5.0,1,4.0,7,3.7
18527,35.0,1,1.01,1.0,3.0,1,4.0,7,3.9
21116,40.0,1,0.43,1.0,4.0,1,4.0,7,3.3
18024,34.0,1,-0.62,2.0,3.0,1,3.0,5,2.4
2412,44.0,1,1.3,1.0,5.0,1,5.0,7,3.3
27104,38.5,1,-0.25,1.0,2.0,1,4.0,7,3.3
22809,34.0,1,-0.1,1.0,4.0,1,3.0,6,2.7
20300,35.0,1,0.28,1.0,4.0,1,5.0,7,3.7
6529,34.0,1,1.05,1.0,2.0,1,3.0,7,3.8
21534,37.0,1,0.43,1.0,3.0,1,3.0,7,3.7
17145,42.0,1,1.22,1.0,2.0,1,2.0,7,3.7
7998,39.0,1,-1.77,1.0,5.0,1,5.0,7,2.5
2342,38.0,1,1.03,1.0,4.0,1,3.0,7,3.1
2805,44.0,1,-1.33,1.0,5.0,1,6.0,7,3.2
21321,39.0,1,0.44,1.0,3.0,1,1.0,7,3.3
9314,41.0,1,1.19,1.0,3.0,1,4.0,7,3.4
2460,40.0,1,-0.11,1.0,3.0,1,3.0,7,3.4
677,37.0,1,0.46,1.0,5.0,1,5.0,7,3.4
19407,41.0,1,-1.52,1.0,3.0,1,3.0,7,2.6
17267,32.0,1,-0.36,1.0,4.0,1,2.0,6,3.1
1290,42.0,1,-0.17,1.0,4.0,1,5.0,7,2.9
27058,39.0,1,0.3,1.0,4.0,1,3.0,7,3.0
12709,40.0,1,1.22,2.0,3.0,1,3.0,7,3.1
12915,38.0,1,-1.81,1.0,4.0,1,4.0,7,2.7
3675,28.0,1,-0.47,1.0,4.0,1,5.0,5,3.0
18731,29.0,1,-1.54,1.0,4.0,1,5.0,4,2.5
17254,39.0,1,-0.38,1.0,3.0,1,5.0,7,2.9
4033,42.0,1,0.2,1.0,4.0,1,4.0,7,3.1
5150,31.0,1,-1.62,1.0,4.0,1,3.0,6,3.2
9711,23.0,1,-2.05,1.0,2.0,1,5.0,4,3.2
8112,42.0,1,-0.5,1.0,5.0,1,4.0,7,2.6
24087,42.0,1,0.88,1.0,4.0,1,4.0,7,3.3
9210,48.0,1,0.95,1.0,4.0,1,5.0,7,3.9
23005,36.5,1,0.68,1.0,4.0,1,5.0,7,3.4
20238,28.0,1,-1.61,1.0,3.0,1,5.0,6,3.7
24310,30.0,1,-0.51,1.0,3.0,1,3.0,5,3.0
11286,33.0,1,0.51,1.0,2.0,1,3.0,6,3.2
15083,38.0,1,0.46,1.0,3.0,1,4.0,7,3.4
797,40.0,1,-0.44,1.0,4.0,1,3.0,7,3.0
24101,25.0,1,-1.06,1.0,5.0,1,3.0,4,3.3
9104,39.0,1,-1.22,1.0,5.0,1,3.0,7,2.9
18729,28.0,1,-1.87,1.0,3.0,1,3.0,4,2.7
15246,35.0,1,-0.4,1.0,5.0,1,3.0,6,2.7
23913,30.5,1,-0.35,1.0,4.0,1,3.0,6,3.2
5811,39.0,1,-0.74,1.0,3.0,1,5.0,7,3.6
21020,37.5,1,-0.35,1.0,4.0,1,4.0,7,3.3
13257,43.0,1,-0.04,1.0,4.0,1,6.0,7,3.2
17477,34.5,1,0.41,2.0,3.0,1,4.0,7,3.8
13086,41.0,1,0.38,1.0,4.0,1,3.0,7,3.1
12233,39.0,1,-1.35,1.0,4.0,1,3.0,7,2.7
22463,36.0,1,0.42,1.0,5.0,1,3.0,6,2.8
4532,39.0,1,-1.39,1.0,4.0,1,4.0,7,3.6
9851,48.0,1,0.13,1.0,4.0,1,5.0,7,3.9
6829,41.0,1,0.35,1.0,3.0,1,4.0,7,3.6
7857,42.0,1,2.33,1.0,4.0,1,2.0,7,2.8
6065,31.0,1,1.01,1.0,3.0,1,2.0,7,3.7
15799,17.5,1,-1.65,1.0,3.0,1,3.0,1,2.5
11979,42.0,1,0.88,1.0,4.0,1,3.0,7,2.8
18088,39.0,1,1.28,1.0,4.0,1,5.0,7,3.1
10166,24.0,1,0.46,1.0,2.0,1,6.0,4,3.4
4327,38.0,1,1.67,1.0,4.0,1,4.0,7,3.3
3898,29.0,1,-0.73,1.0,4.0,1,3.0,5,3.2
1952,36.0,1,-0.12,1.0,4.0,1,4.0,7,3.4
11298,30.0,1,-2.02,1.0,2.0,1,4.0,5,3.2
8834,33.0,1,-0.07,1.0,3.0,1,3.0,7,3.5
14057,40.0,1,-0.48,2.0,3.0,1,3.0,7,2.9
22311,42.0,1,0.73,1.0,3.0,1,4.0,7,3.9
19921,25.0,1,-1.84,1.0,1.0,1,2.0,4,3.0
7145,43.0,1,-0.32,1.0,4.0,1,4.0,7,3.2
12894,40.0,1,-1.8,1.0,4.0,1,3.0,7,3.2
2901,35.0,1,0.77,1.0,4.0,1,4.0,7,3.9
26338,26.5,1,-0.22,1.0,4.0,1,3.0,4,3.0
24808,39.5,1,1.15,1.0,3.0,1,5.0,7,3.3
16183,40.0,1,-0.64,1.0,4.0,1,2.0,7,2.6
6610,47.0,1,0.0,1.0,2.0,1,6.0,7,3.9
5492,38.5,1,1.45,1.0,3.0,1,6.0,7,3.8
18956,43.0,1,1.23,1.0,4.0,1,5.0,7,3.7
27245,37.0,1,1.2,1.0,4.0,1,4.0,7,3.6
7746,34.0,1,0.02,1.0,4.0,1,4.0,6,3.2
5099,35.0,1,1.0,1.0,3.0,1,1.0,7,3.7
3730,42.0,1,1.49,1.0,4.0,1,4.0,7,3.6
13502,27.0,1,0.79,1.0,3.0,1,2.0,5,3.7
10791,45.0,1,-1.35,2.0,3.0,1,5.0,7,2.7
1155,41.0,1,0.19,1.0,4.0,1,4.0,7,3.6
14557,33.0,1,-0.46,1.0,4.0,1,2.0,5,2.5
18411,35.0,1,0.95,1.0,3.0,1,5.0,7,3.6
18706,39.0,1,0.39,1.0,3.0,1,4.0,7,2.9
4486,33.0,1,-0.93,1.0,3.0,1,4.0,5,2.5
17192,35.0,1,0.65,1.0,5.0,1,3.0,7,3.1
13868,38.0,1,-1.43,1.0,4.0,1,5.0,7,3.6
20128,38.0,1,1.24,1.0,4.0,1,5.0,7,3.5
905,32.0,1,0.15,1.0,4.0,1,2.0,6,3.4
548,33.0,1,-0.88,2.0,3.0,1,4.0,7,3.4
6321,34.0,1,-1.25,1.0,4.0,1,3.0,6,3.0
433,35.0,1,-1.41,1.0,4.0,1,5.0,6,3.0
10518,41.0,1,-0.09,1.0,4.0,1,3.0,7,2.9
16369,39.0,1,1.71,1.0,3.0,1,2.0,7,3.9
24503,43.0,1,0.29,1.0,2.0,1,5.0,7,2.8
25062,30.5,1,-0.31,1.0,3.0,1,2.0,6,3.3
3856,38.0,1,0.72,1.0,4.0,1,4.0,7,3.5
23008,33.0,1,0.17,1.0,3.0,1,4.0,6,3.2
8198,33.0,1,-0.35,1.0,5.0,1,5.0,6,3.1
22005,34.0,1,-0.24,1.0,3.0,1,3.0,5,2.6
25228,37.0,1,-0.33,1.0,2.0,1,4.0,7,3.5
3698,31.5,1,-0.41,1.0,2.0,1,3.0,6,3.2
14891,41.0,1,0.53,1.0,4.0,1,5.0,7,3.7
10184,44.0,1,0.7,1.0,4.0,1,6.0,7,3.5
18230,29.0,1,-1.47,1.0,3.0,1,4.0,5,2.9
24221,33.0,1,-0.72,2.0,3.0,1,3.0,6,2.8
17919,42.0,1,-0.63,1.0,3.0,1,6.0,7,3.4
17937,36.5,1,0.46,1.0,3.0,1,3.0,7,3.4
17226,37.0,0,-1.77,1.0,4.0,1,3.0,6,2.5
7083,39.0,1,1.71,1.0,3.0,1,4.0,7,2.7
14149,38.0,1,0.3,2.0,4.0,1,3.0,7,3.1
15921,44.0,1,1.15,1.0,4.0,1,3.0,7,2.3
10078,41.0,1,1.46,1.0,3.0,1,3.0,7,2.5
3067,32.5,1,-0.22,1.0,4.0,1,5.0,6,2.9
17584,44.0,1,0.86,1.0,4.0,1,5.0,7,2.8
26529,41.0,1,1.08,1.0,1.0,1,5.0,7,3.7
8043,36.5,1,0.58,1.0,4.0,1,5.0,7,2.9
12563,31.0,1,-0.97,1.0,3.0,1,4.0,6,3.1
25680,39.0,1,0.35,1.0,1.0,1,3.0,7,3.4
10965,35.5,1,0.26,1.0,4.0,1,5.0,7,3.0
22896,42.0,1,-0.41,1.0,2.0,1,5.0,7,3.4
8442,36.0,1,-0.12,1.0,3.0,1,4.0,7,3.9
2670,42.0,1,0.03,1.0,3.0,1,6.0,7,3.8
12562,43.0,1,0.46,1.0,2.0,1,6.0,7,2.6
11015,47.0,1,0.19,1.0,4.0,1,6.0,7,3.1
23386,33.0,1,0.43,2.0,3.0,1,3.0,7,3.4
12204,36.0,1,-0.35,2.0,3.0,1,3.0,7,2.9
11983,42.0,1,-0.73,1.0,4.0,1,4.0,7,3.3
18055,32.0,1,-1.19,1.0,3.0,1,3.0,6,3.4
7554,38.0,1,-2.28,1.0,4.0,1,3.0,6,2.4
6150,41.0,1,0.35,1.0,4.0,1,5.0,7,3.0
816,33.5,1,0.39,1.0,4.0,1,3.0,6,3.2
19247,40.0,1,0.0,1.0,3.0,1,4.0,7,2.4
5793,42.0,1,-0.53,1.0,4.0,1,4.0,7,3.0
23972,32.0,1,-0.11,1.0,5.0,1,5.0,6,3.1
15746,47.0,1,1.48,2.0,3.0,1,3.0,7,3.7
13042,44.0,1,0.78,1.0,4.0,1,4.0,7,2.8
25503,40.0,1,0.85,1.0,4.0,1,3.0,7,3.4
20513,40.0,1,-0.47,1.0,4.0,1,4.0,7,3.4
18499,40.0,1,-0.44,1.0,3.0,1,4.0,7,3.2
14675,43.0,1,-0.29,1.0,3.0,1,5.0,7,3.1
12636,40.0,1,0.09,1.0,4.0,1,4.0,7,3.2
22903,43.0,1,1.41,1.0,4.0,1,3.0,7,2.9
3172,36.0,1,1.0,1.0,3.0,1,2.0,7,2.9
17170,38.0,1,-1.13,1.0,3.0,1,3.0,7,3.2
19039,37.3,1,0.43,1.0,3.0,1,3.0,7,3.5
1912,26.0,1,-1.13,1.0,2.0,1,3.0,5,3.3
1402,29.0,1,-0.78,1.0,2.0,1,2.0,5,2.9
18572,47.0,1,0.59,1.0,4.0,1,5.0,7,3.6
12045,28.0,1,-0.95,1.0,1.0,1,3.0,5,3.4
15452,43.0,1,0.13,1.0,4.0,1,4.0,7,3.3
13073,33.0,1,1.28,1.0,2.0,1,4.0,7,3.5
18431,28.0,1,-0.76,1.0,4.0,1,2.0,5,3.2
17630,32.0,1,-1.35,2.0,4.0,1,4.0,6,3.0
10855,37.0,1,0.13,1.0,4.0,1,4.0,7,3.1
104,35.0,1,1.26,1.0,4.0,1,2.0,7,3.3
14446,35.0,1,-1.48,1.0,4.0,1,3.0,6,3.0
11987,43.0,1,-0.59,1.0,2.0,1,6.0,7,3.8
1451,35.0,1,-0.78,2.0,3.0,1,3.0,6,2.8
11726,36.0,1,1.07,1.0,4.0,1,3.0,7,3.4
22458,42.0,1,0.7,1.0,3.0,1,4.0,7,3.5
670,41.0,1,0.94,1.0,3.0,1,4.0,7,3.8
16770,40.0,1,-1.3,1.0,4.0,1,5.0,7,3.1
16784,35.0,1,-0.43,1.0,3.0,1,3.0,6,3.0
18725,38.0,1,-0.17,1.0,5.0,1,4.0,7,3.3
3355,41.0,1,-0.08,1.0,4.0,1,3.0,7,3.1
11491,31.0,1,0.27,2.0,4.0,1,2.0,5,2.8
