ID,lsat,grad,zgpa,fulltime,fam_inc,Dropout,tier,indxgrp,gpa
5466,29.0,1,-1.75,1.0,3.0,1,2.0,5,3.0
7134,29.0,1,0.7,1.0,3.0,1,1.0,6,3.5
13671,32.0,0,-0.78,1.0,5.0,1,4.0,5,2.9
18829,21.5,1,-1.35,1.0,2.0,1,3.0,3,3.0
3243,23.5,1,-1.79,1.0,3.0,1,4.0,3,2.6
26960,23.5,1,-1.76,1.0,3.0,1,3.0,3,3.0
8668,32.3,1,-1.19,2.0,3.0,1,3.0,5,2.7
19935,32.0,1,-0.75,1.0,2.0,1,2.0,4,2.3
5617,40.0,1,0.14,1.0,4.0,1,3.0,7,2.8
15812,36.0,1,0.46,2.0,3.0,1,3.0,7,2.9
9180,37.0,1,0.39,1.0,2.0,1,3.0,7,3.9
15833,25.0,1,-1.46,1.0,3.0,1,2.0,3,2.7
22472,27.0,1,-2.51,1.0,4.0,1,1.0,3,2.2
1663,40.0,1,-1.04,1.0,3.0,1,2.0,7,2.5
10271,28.5,1,-0.87,1.0,3.0,1,2.0,5,2.9
4493,22.0,1,-2.11,2.0,5.0,1,3.0,2,2.6
24938,39.0,1,0.94,1.0,2.0,1,4.0,7,3.7
19258,43.5,1,0.8,1.0,5.0,1,5.0,7,3.8
8760,40.0,1,0.55,1.0,4.0,1,4.0,7,3.5
24983,32.0,1,-1.18,1.0,2.0,1,2.0,6,3.1
17226,37.0,0,-1.77,1.0,4.0,1,3.0,6,2.5
4146,43.0,1,-1.34,1.0,4.0,1,6.0,7,3.0
5714,41.0,1,1.05,1.0,4.0,1,4.0,7,3.7
1377,25.0,1,-2.53,1.0,2.0,1,5.0,3,2.6
4771,32.0,1,-0.63,1.0,3.0,1,3.0,6,3.1
4258,34.0,1,-1.53,2.0,3.0,1,5.0,6,3.0
7223,36.0,1,-0.3,1.0,4.0,1,3.0,7,2.9
16705,33.0,1,-2.51,1.0,3.0,1,4.0,6,3.2
22126,42.0,1,-1.43,1.0,5.0,1,3.0,7,3.3
10749,29.0,1,-1.56,2.0,4.0,1,2.0,5,3.3
19513,36.0,1,-0.35,2.0,4.0,1,4.0,7,3.1
12164,37.0,1,-1.03,2.0,2.0,1,5.0,7,2.8
24621,38.0,1,0.04,1.0,3.0,1,4.0,7,3.7
11275,39.0,1,-1.5,1.0,2.0,1,3.0,7,2.6
13151,37.0,1,-0.23,1.0,4.0,1,3.0,7,3.2
8745,45.0,1,0.38,1.0,4.0,1,5.0,7,3.6
205,37.0,1,0.73,1.0,4.0,1,3.0,7,2.9
13390,34.0,1,0.93,1.0,4.0,1,3.0,7,3.5
11505,35.0,1,-0.17,1.0,4.0,1,4.0,6,2.9
7368,29.0,1,-2.17,1.0,3.0,1,4.0,4,2.8
27338,43.0,1,-1.51,1.0,3.0,1,4.0,7,3.4
16911,40.0,1,0.88,1.0,4.0,1,4.0,7,2.7
127,29.0,1,-1.49,1.0,4.0,1,3.0,4,2.8
15838,45.0,1,-0.79,1.0,4.0,1,4.0,7,2.9
25837,35.0,1,-1.66,1.0,3.0,1,4.0,7,3.2
18291,32.0,0,-2.76,2.0,5.0,1,4.0,4,2.1
11625,38.0,1,-1.71,1.0,4.0,1,4.0,7,3.3
6401,23.5,1,-1.4,1.0,3.0,1,3.0,4,3.4
7646,35.0,1,-1.39,1.0,4.0,1,3.0,6,2.9
23008,33.0,1,0.17,1.0,3.0,1,4.0,6,3.2
12055,34.0,1,-0.45,1.0,3.0,1,3.0,6,3.2
4859,28.0,1,0.46,1.0,3.0,1,1.0,5,3.4
19921,25.0,1,-1.84,1.0,1.0,1,2.0,4,3.0
9716,43.0,1,-0.77,1.0,2.0,1,6.0,7,3.0
26473,24.7,1,-2.53,1.0,5.0,1,3.0,2,2.1
4717,22.0,1,0.3,1.0,3.0,1,1.0,3,3.1
20386,35.0,1,-1.67,1.0,4.0,1,2.0,6,2.7
5075,31.5,1,-0.37,1.0,3.0,1,3.0,6,3.2
11943,35.0,1,0.84,1.0,4.0,1,3.0,7,3.3
23416,30.0,1,-2.07,1.0,3.0,1,5.0,4,2.6
9418,31.5,1,0.95,1.0,3.0,1,3.0,6,3.1
12300,41.0,1,1.45,2.0,4.0,1,5.0,7,2.5
21249,28.5,1,-1.48,1.0,3.0,1,2.0,6,3.5
4784,26.0,1,-1.07,1.0,5.0,1,3.0,4,2.9
728,37.0,1,-1.22,1.0,2.0,1,4.0,7,2.9
6296,35.0,1,-0.97,1.0,3.0,1,3.0,7,3.2
7790,29.0,1,-0.25,1.0,2.0,1,3.0,5,2.9
3252,38.0,1,-0.76,1.0,1.0,1,3.0,7,2.8
17567,44.0,1,0.45,1.0,4.0,1,6.0,7,3.5
3617,37.0,1,0.15,1.0,1.0,1,4.0,7,3.7
